Location,Type,Rooms,Price
Lekki,semi-detached duplex,4,3500000
Ikoyi,semi-detached duplex,5,23000000
Lekki,detached duplex,5,3200000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,6,5000000
Lekki,terraced duplex,5,6500000
Lekki,detached duplex,5,5000000
Ikeja,detached duplex,5,4500000
Apapa,detached duplex,4,5000000
Lekki,semi-detached duplex,4,3500000
Magodo,terraced duplex,3,3500000
Lekki,terraced duplex,4,4500000
Lekki,terraced duplex,4,3000000
Lekki,detached duplex,5,4500000
Ikoyi,flat apartment,4,15000000
Lekki,semi-detached duplex,4,3500000
Ajah,terraced duplex,4,2000000
Ikoyi,semi-detached duplex,5,22000000
Ikoyi,flat apartment,5,25000000
Ikoyi,flat apartment,3,16000000
Ikoyi,flat apartment,4,45000000
Ikoyi,flat apartment,4,18000000
Ikoyi,terraced duplex,5,16000000
Ikoyi,terraced duplex,3,12000000
Lekki,terraced duplex,3,1500000
Ikoyi,flat apartment,3,16000000
Ikoyi,flat apartment,3,16000000
Ikoyi,semi-detached duplex,5,17000000
Ikoyi,terraced duplex,3,14000000
Ikoyi,terraced duplex,3,8000000
Ikoyi,flat apartment,3,8000000
Lekki,detached duplex,5,15000000
Ikoyi,terraced duplex,4,17000000
Lekki,terraced duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,3,2500000
Ikeja,detached duplex,5,2500000
Lekki,detached duplex,5,4500000
Ikorodu,flat apartment,1,200000
Lekki,terraced duplex,4,3000000
Magodo,detached duplex,5,5500000
Lekki,flat apartment,3,2500000
Ikeja,detached duplex,5,4000000
Lekki,detached duplex,4,4500000
Ikoyi,flat apartment,4,18000000
Lekki,flat apartment,4,4000000
Lekki,semi-detached duplex,4,65000000
Lekki,detached duplex,5,12000000
Lekki,terraced duplex,5,4500000
Lekki,terraced duplex,5,6000000
Lekki,terraced duplex,5,6000000
Lekki,terraced duplex,4,3000000
Lekki,flat apartment,1,170000
Lekki,semi-detached duplex,4,5000000
Lekki,detached duplex,3,2000000
VI,detached duplex,5,9000000
Lekki,detached duplex,4,2500000
Surulere,detached bungalow,5,4500000
Lekki,semi-detached duplex,4,3000000
Lekki,terraced duplex,4,2800000
Lekki,terraced duplex,4,3000000
Lekki,detached duplex,4,3800000
Lekki,detached duplex,5,4500000
Ikoyi,detached duplex,3,16000000
Ikoyi,semi-detached duplex,5,16000000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,3,1500000
Ikoyi,terraced duplex,3,10000000
Lekki,terraced duplex,4,3500000
Ikoyi,semi-detached duplex,4,6500000
Lekki,detached duplex,5,6000000
Ikoyi,terraced duplex,4,17500000
Ikoyi,terraced duplex,3,15000000
Lekki,terraced duplex,4,3200000
Lekki,terraced duplex,4,3500000
Lekki,semi-detached duplex,4,6000000
Lekki,detached duplex,5,3200000
Lekki,terraced duplex,3,3500000
Lekki,flat apartment,4,4000000
Lekki,semi-detached duplex,4,3000000
Magodo,semi-detached duplex,4,3000000
Lekki,terraced duplex,4,2000000
Lekki,semi-detached duplex,4,3000000
VI,terraced duplex,5,6000000
Ikoyi,detached duplex,6,27000000
Ikoyi,terraced duplex,4,9500000
Lekki,terraced bungalow,4,3000000
Lekki,semi-detached duplex,6,5000000
Magodo,semi-detached duplex,4,1500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3200000
Lekki,semi-detached duplex,4,2800000
Ajah,terraced duplex,4,1500000
Lekki,terraced duplex,3,3000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,5000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Surulere,detached duplex,4,150000000
