,Type,Rooms,Location,Price
577,terraced duplex,4,Lekki,3000000
578,house for,4,Lekki,3200000
579,semi-detached duplex,5,Ikoyi,17000000
580,terraced bungalow,2,Lekki,2000000
581,semi-detached duplex,4,Lekki,3500000
582,detached duplex,4,Lekki,3500000
583,semi-detached duplex,4,Lekki,3500000
584,terraced duplex,4,Ikeja,6000000
585,detached duplex,5,Lekki,5000000
586,terraced duplex,4,Lekki,4500000
587,terraced duplex,2,Ketu,800000
588,semi-detached duplex,6,Lekki,5000000
589,terraced duplex,4,Lekki,6000000
590,terraced duplex,4,(VI),7000000
591,detached duplex,4,Lekki,2200000
592,terraced duplex,4,Ikoyi,4000000
593,semi-detached duplex,3,Lekki,3000000
594,terraced duplex,5,Lekki,5500000
595,semi-detached duplex,4,Ikoyi,7000000
596,detached duplex,4,Ikoyi,7000000
597,house for,4,Ajah,3500000
598,terraced duplex,4,Lekki,4500000
599,semi-detached duplex,5,(VI),10000000
600,semi-detached duplex,4,Lekki,3000000
601,detached duplex,5,Magodo,5500000
602,semi-detached duplex,4,Lekki,3500000
603,terraced duplex,4,Lekki,2800000
604,house for,3,(VI),3000000
605,terraced duplex,4,Lekki,3000000
606,terraced duplex,4,Ajah,2800000
607,detached duplex,5,Lekki,4500000
608,house for,2,Lekki,2000000
609,house for,4,Lekki,4000000
610,semi-detached duplex,4,Lekki,3500000
611,semi-detached duplex,4,Lekki,3500000
612,semi-detached duplex,4,Lekki,3500000
613,terraced duplex,5,Lekki,3800000
614,terraced duplex,4,Ikeja,3500000
615,terraced duplex,4,Lekki,3000000
616,detached duplex,4,Lekki,4000000
617,detached duplex,4,Lekki,3500000
618,terraced duplex,4,Ikoyi,10000000
619,semi-detached duplex,4,Ajah,2700000
620,terraced duplex,4,Lekki,3000000
621,semi-detached duplex,2,Ketu,1000000
622,detached duplex,5,Lekki,7500000
623,semi-detached duplex,4,Magodo,3000000
624,terraced duplex,4,Lekki,4000000
625,terraced duplex,4,Lekki,2800000
626,terraced duplex,4,Lekki,2800000
627,terraced duplex,4,Lekki,3000000
628,semi-detached duplex,4,Lekki,3000000
629,house for,4,(VI),7500000
630,house for,4,Lekki,4000000
631,semi-detached bungalow,2,Ajah,450000
632,semi-detached duplex,4,Ajah,2500000
633,terraced duplex,4,Lekki,3000000
634,terraced duplex,4,Lekki,3000000
635,semi-detached duplex,4,Lekki,4000000
636,semi-detached duplex,4,Lekki,4000000
637,terraced duplex,4,Lekki,2200000
638,terraced duplex,4,Lekki,2200000
639,terraced duplex,4,Ikoyi,14500000
640,detached duplex,5,Lekki,3500000
641,detached duplex,5,Lekki,6500000
642,terraced duplex,4,Lekki,3500000
643,terraced duplex,4,Ikoyi,10000000
644,semi-detached duplex,6,(VI),20000000
645,house for,1,Ajah,230000
646,detached duplex,5,Lekki,8000000
647,detached duplex,5,Lekki,4500000
648,detached duplex,4,Lekki,4000000
649,detached duplex,5,Lekki,4500000
650,detached duplex,5,Ikoyi,20000000
651,semi-detached duplex,6,Lekki,5000000
652,terraced duplex,4,(VI),20000000
653,terraced duplex,4,Lekki,3000000
654,semi-detached duplex,4,Ikoyi,8000000
655,semi-detached duplex,5,Lekki,1700000
656,terraced duplex,4,Lekki,3000000
657,house for,1,Ikorodu,180000
658,house for,1,Ikorodu,270000
659,detached duplex,5,Lekki,5000000
660,detached duplex,5,Lekki,4500000
661,detached duplex,4,Lekki,4000000
662,house for,2,Yaba,3000000
663,detached duplex,4,Lekki,4000000
664,detached duplex,5,Lekki,4500000
665,terraced duplex,4,Ajah,1800000
666,semi-detached duplex,4,Lekki,3500000
667,semi-detached duplex,5,Ikoyi,23000000
668,detached duplex,5,Lekki,3200000
669,semi-detached duplex,4,Lekki,3500000
670,terraced duplex,4,Lekki,3000000
671,semi-detached duplex,4,Lekki,3500000
672,semi-detached duplex,6,Lekki,5000000
673,terraced duplex,5,Lekki,6500000
674,detached duplex,5,Lekki,5000000
675,detached duplex,5,Ikeja,4500000
676,detached duplex,4,Apapa,5000000
677,semi-detached duplex,4,Lekki,3500000
678,terraced duplex,3,Magodo,3500000
679,terraced duplex,4,Lekki,4500000
680,terraced duplex,4,Lekki,3000000
681,detached duplex,5,Lekki,4500000
682,house for,4,Ikoyi,15000000
683,semi-detached duplex,4,Lekki,3500000
684,terraced duplex,4,Ajah,2000000
685,semi-detached duplex,5,Ikoyi,22000000
686,house for,5,Ikoyi,25000000
687,semi-detached duplex,4,Ikoyi,Call for Price
688,house for,3,Ikoyi,16000000
689,house for,4,Ikoyi,45000000
690,house for,4,Ikoyi,18000000
691,terraced duplex,5,Ikoyi,16000000
692,terraced duplex,3,Ikoyi,12000000
693,terraced duplex,3,Lekki,1500000
694,house for,3,Ikoyi,16000000
695,house for,3,Ikoyi,16000000
